Meldkamernaam,Organisatie,Straatnaam,Huisnr,Postcode,Plaats,Gemeente,Website,Telefoon,Klasse
Meldkamer Noord-Nederland,Eenheid Noord-Nederland,Noorderend,4,9207 AL,Drachten,Smallingerland,www.meldkamernoordnederland.net,058-8802695,B
Meldkamer Twente,Veiligheidsregio Twente,Demmersweg,55,7556 BN,Hengelo OV,Hengelo,www.vrtwente.nl,053-4876570,B
Meldkamer Oost-Nederland,Eenheid Oost-Nederland,Europaweg,79,7336 AK,Apeldoorn,Apeldoorn,www.vnog.nl,023-5159500,B
GMK Utrecht,Eenheid Midden Nederland,Briljantlaan,3a,3523 CD,Utrecht,Utrecht,www.vnog.nl,023-5159500,B
Meldkamer KMAR,KMAR,Sloterweg,400,1171 VK,Badhoevedorp,Haarlemmermeer,www.kmar.nl,023-5159500,B
Meldkamer Noord-Holland,Politie Eenheid Noord-Holland,Zijlweg,200,2015 CK,Haarlem,Haarlem,www.vrk.nl,023-5159500,B
Meldkamer Amsterdam,Politie Eenheid Amsterdam,Elandsgracht,117,1016 XS,Amsterdam,Amsterdam, , ,B
Meldkamer De Yp,Politie Eenheid Den Haag,Katschiplaan,10,2496 ZN,Den Haag,Den Haag,www.vrh.nl,088-8868000,V
Meldkamer Rotterdam,Politie Eenheid Rotterdam,Wilhelminakade,947,3072 AP,Rotterdam,Rotterdam,www.veiligheidsregio-rr.nl,088-8868000,V
Meldkamer ZeBra,Politie Eenheid Zeeland - West-Brabant,Ringbaan West,232,5038 KE,Tilburg,Tilburg, , ,B
Brabant-Noord,Politie Eenheid Oost-Brabant,Gruttostraat,10,5212 VM,s-Hertogenbosch,s-Hertogenbosch,www.brandweer.nl/brabant-noord/,073-6889555,V
IJsselmeergebied,Rijkswaterstaat Nautisch,Oostvaardersdijk,1,8242 PA,Lelystad,Lelystad,www.rijkswaterstaat.nl/water/veiligheid/scheepvaartverkeersbegeleiding/verkeersposten/, ,V
Nijmegen,Rijkswaterstaat Nautisch,Winselingseweg,100,6541 AH,Nijmegen,Nijmegen,www.rijkswaterstaat.nl/water/veiligheid/scheepvaartverkeersbegeleiding/verkeersposten/, ,V
Schellingwoude,Rijkswaterstaat Nautisch,Zuider IJdijk,51,1095 KP,Schellingwoude,Amsterdam,www.rijkswaterstaat.nl/water/veiligheid/scheepvaartverkeersbegeleiding/verkeersposten/, ,V
Hoek van Holland,Havenbedrijf Rotterdam,Koningin Emmaboulevard,9,3151 HG,Hoek van Holland,Rotterdam,www.portofrotterdam.nl, ,V
Botlek,Havenbedrijf Rotterdam,Oude Maasweg,3a,3197 KJ,Rotterdam-Vondelingenplaat,Rotterdam,www.portofrotterdam.nl, ,V
Hartel,Havenbedrijf Rotterdam,Plaatweg,11,3297 KW,Rotterdam,Rotterdam,www.portofrotterdam.nl, ,V
Noord- en Oost-Nederland,Rijkswaterstaat Wegen,Van Nieuwenhuizenweg,4,6874 NE,Wolfheze,Renkum, , ,V
Verkeerscentrale NW-Nederland,Rijkswaterstaat Wegen,Amsterdamseweg,25,1981 LE,Velsen-Zuid,Velsen, , ,V
Verkeerscentrale Dordrecht,Rijkswaterstaat Wegen,Van Leeuwenhoekweg,20,3316 AV,Dordrecht,Dordrecht, , ,V
Verkeerscentrale Zuid-Nederland,Rijkswaterstaat Wegen,De Zegge,1,5664 EZ,Geldrop,Geldrop-Mierlo, , ,V
Verkeerscentrale Midden-Nederland,Rijkswaterstaat Wegen,Papendorpseweg,101,3528 BJ,Utrecht,Utrecht, , ,V
Brandaris Zeeverkeerscentrale,Rijkswaterstaat Nautisch,Brandarisstraat,2,8881 AW,West-Terschelling,Terschelling,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Schelde coördinatiecentrum,Rijkswaterstaat Nautisch,Commandoweg,50,4381 AW,Vlisisngen,Vlissingen,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Verkeerspost Terneuzen,Rijkswaterstaat Nautisch,Buitenhaven,1,4531 BX,Terneuzen,Terneuzen,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Verkeerspost Hansweert,Rijkswaterstaat Nautisch,Kanaalweg,2,4417 ER,Hansweert,Reimerswaal,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Verkeerspost Wemeldinge,Rijkswaterstaat Nautisch,Kanaalweg,94,4401 PE,Yerseke,Reimerswaal,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Verkeerspost Tiel,Rijkswaterstaat Nautisch,Echteldsedijk,50,4005 MA,Tiel,Tiel,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Zeeverkeerspost Schiermonnikoog,Rijkswaterstaat Nautisch,Vuurtorenpad,28,9166 RW,Schiermonnikoog,Schiermonnikoog,www.rijkswaterstaat.nl/over_ons/organisatiestructuur/verkeer_en_watermanagement/, ,V
Verkeerscentrale ZW Nederland,Rijkswaterstaat Wegen,Groene Kruisweg,403,3161 EJ,Rhoon,Albrandswaard,www.rijkswaterstaat.nl, ,V
